date,base_value,open_value,lock_value,high_value,low_value,overall_market_value
2013-12-1,1358.23,1361.45,1377.79,1378.06,1361.29,473391751
2013-11-28,1351.96,1353.64,1358.23,1358.78,1352.43,466867802
2013-11-27,1346.72,1350.7,1351.96,1354.11,1346.83,466415203
2013-11-26,1350.13,1351.25,1346.72,1351.69,1344.62,464246172
2013-11-25,1352.96,1356.51,1350.13,1356.81,1349.57,466278468
2013-11-24,1344.85,1349.9,1352.96,1355.38,1349.88,466879006
2013-11-21,1344.34,1342.03,1344.85,1346.57,1336.94,464128103
2013-11-20,1335.31,1337.35,1344.34,1345.66,1336.63,463933247
2013-11-19,1334.14,1335.07,1335.31,1337.43,1331.39,456301114
2013-11-18,1327.19,1328.3,1334.14,1339.79,1328.3,455342797
2013-11-17,1315.86,1320.14,1327.19,1328.03,1319.75,453882799
2013-11-14,1307.31,1312.17,1315.86,1316.25,1312.17,450941600
2013-11-13,1309.07,1305.69,1307.31,1310.37,1304.12,447832029
2013-11-12,1311.55,1311.85,1309.07,1312.62,1305.69,448273587
2013-11-11,1313.41,1313.95,1311.55,1315.02,1310.38,447968637
2013-11-10,1310.46,1314.76,1313.41,1316.48,1312.16,448452667
2013-11-7,1304.96,1303.42,1310.46,1312.69,1302.76,447306860
2013-11-6,1297.97,1302.87,1304.96,1308.22,1301.3,443789423
2013-11-5,1301.37,1302.81,1297.97,1304.42,1296.53,442587043
2013-11-4,1293.42,1293.58,1301.37,1303.32,1292.07,442788664
2013-11-3,1288.19,1293.81,1293.42,1294.77,1291.73,440879065
2013-10-31,1283.08,1276.1,1288.19,1288.19,1275.18,440275577
2013-10-30,1289.75,1291.96,1283.08,1295.83,1281.96,440719826
2013-10-29,1285.32,1288.11,1289.75,1293.79,1286.77,448535143
2013-10-28,1293.32,1295.34,1285.32,1295.97,1284.77,447430104
2013-10-27,1286.36,1290.92,1293.32,1295.99,1290.32,450286128
2013-10-24,1289.33,1293.23,1286.36,1294.62,1282.78,445176553
2013-10-23,1308.27,1302.78,1289.33,1302.85,1288.94,446215917
2013-10-22,1304.15,1304.87,1308.27,1308.78,1302.1,451017640
2013-10-21,1305.67,1306.94,1304.15,1307.15,1301.45,450975033
2013-10-20,1296.65,1301.15,1305.67,1306.14,1297.03,449855981
2013-10-17,1307,1303.6,1296.65,1308.96,1295.02,448002801
2013-10-16,1302.95,1304.01,1307,1308.79,1301.98,450599684
2013-10-15,1295.8,1301.51,1302.95,1303.66,1292.2,450134528
2013-10-14,1285.16,1285.46,1295.8,1296.92,1281.88,450151748
2013-10-13,1292.75,1297.08,1285.16,1301.7,1285.16,447061835
2013-10-10,1286.12,1287.34,1292.75,1298.21,1286.04,448903385
2013-10-9,1282.07,1276.83,1286.12,1292.28,1275.5,445111637
2013-10-8,1280.59,1283.22,1282.07,1285.32,1277.55,443684070
2013-10-7,1275.3,1270.73,1280.59,1280.59,1265.78,442001670
2013-10-6,1257.64,1271.68,1275.3,1276.96,1269.35,440738618
2013-10-3,1271.97,1273.93,1257.64,1276,1257.64,434162158
2013-10-2,1274.78,1272.05,1271.97,1284.38,1268.99,420915074
2013-10-1,1264.98,1269.98,1274.78,1275.93,1269.56,421780768
2013-09-30,1270.93,1263.92,1264.98,1268.91,1258.11,419164575
2013-09-29,1256.36,1259.98,1270.93,1275.75,1259.06,422523075
2013-09-24,1261.54,1267.55,1256.36,1267.55,1253.73,418211898
2013-09-23,1252.98,1257.01,1261.54,1277.59,1256.41,418823939
2013-09-22,1240.08,1242.47,1252.98,1257,1238.11,415746548
2013-09-17,1230.37,1230.09,1240.08,1241.02,1222.65,414093897
2013-09-16,1225.8,1232.86,1230.37,1235.72,1226.83,412986030
2013-09-15,1202.81,1214.15,1225.8,1226.72,1214.15,412119784
2013-9-12,1200.43,1202.05,1202.81,1205.45,1198.39,405752327
2013-9-11,1198.44,1197.5,1200.43,1206,1196.04,406485885
2013-9-10,1179.84,1189.82,1198.44,1200.09,1188.23,406275441
2013-9-9,1165.42,1170.47,1179.84,1179.98,1168.46,402344758
2013-9-8,1179.73,1184.68,1165.42,1186.78,1165.42,398628832
2013-9-3,1190.1,1187.34,1179.73,1189.66,1172.76,402706071
2013-9-2,1185.11,1188.08,1190.1,1190.1,1184.47,404331277
2013-9-1,1178.41,1182.97,1185.11,1186.09,1181.05,403732694
2013-08-29,1164.69,1173.86,1178.41,1178.41,1166.43,403401858
2013-08-28,1156.19,1157.56,1164.69,1165.85,1145.2,401655455
2013-08-27,1184.39,1174.22,1156.19,1176.44,1156.19,401206781
2013-08-26,1198.56,1196.81,1184.39,1196.95,1183.84,406830940
2013-08-25,1201.28,1203.22,1198.56,1204.64,1171.19,408516739
2013-08-22,1203.22,1203.31,1201.28,1206.23,1199.5,409161310
2013-08-21,1207.81,1207.38,1203.22,1208.48,1202.44,410654067
2013-08-20,1208.84,1205.36,1207.81,1208.84,1203.76,413824263
2013-08-19,1207.24,1209.33,1208.84,1211.92,1206.18,416181175
2013-08-18,1204.89,1203,1207.24,1207.24,1201.38,415774156
2013-08-15,1212.58,1208.87,1204.89,1211.2,1203.72,415580071
2013-08-14,1211.72,1212.2,1212.58,1213.65,1209.94,418184301
2013-08-13,1206.86,1208.7,1211.72,1213.41,1208.29,417248119
2013-8-12,1202.75,1203.64,1206.86,1207.83,1202.18,415934711
2013-8-11,1202.85,1202.36,1202.75,1205.23,1199.5,416048606
2013-8-8,1200.47,1202.75,1202.85,1206.4,1199.93,411962931
2013-8-7,1200.87,1196.72,1200.47,1202.97,1193.27,410406800
2013-8-6,1203.65,1201.1,1200.87,1203.1,1198.69,409114487
2013-8-5,1208.94,1210.25,1203.65,1211.77,1200.3,410628992
2013-8-4,1207.84,1207.68,1208.94,1210.85,1206.11,413215039
2013-8-1,1203.47,1204.33,1207.84,1208.7,1202.59,413499527
2013-07-31,1203.46,1204.53,1203.47,1204.68,1197.55,414724308
2013-07-30,1223.55,1221.93,1203.46,1221.93,1197.07,414752067
2013-07-29,1227.94,1225.28,1223.55,1228.47,1221.91,427245483
2013-07-28,1229.24,1229.88,1227.94,1230.49,1226.78,429149351
2013-07-25,1234.2,1233.8,1229.24,1233.8,1224.34,430938849
2013-07-24,1230.29,1230.49,1234.2,1237.82,1228.64,433567777
2013-07-23,1229.49,1231.87,1230.29,1232.39,1228.94,431531745
2013-07-22,1226.45,1227.64,1229.49,1230.27,1226.18,428845957
2013-07-21,1226.89,1228.29,1226.45,1228.65,1222.57,427175663
2013-07-18,1223.72,1224.59,1226.89,1227.51,1220.77,427627208
2013-07-17,1220.44,1220.11,1223.72,1224.57,1215.86,425373559
2013-07-15,1221,1223.89,1220.44,1225.53,1219.1,425350849
2013-07-14,1214.52,1217.61,1221,1224.58,1217.59,425492215
2013-7-11,1206.06,1215.59,1214.52,1215.59,1211.82,423078606
2013-7-10,1206.87,1206.92,1206.06,1208.06,1203.8,422729490
2013-7-9,1207.71,1207.16,1206.87,1209.7,1203.77,423818661
2013-7-8,1202.15,1201.49,1207.71,1207.71,1200.97,424185814
2013-7-7,1195.09,1197.86,1202.15,1202.33,1196.68,421750244
2013-7-4,1189.44,1192.04,1195.09,1197.51,1191.2,419781336
2013-7-3,1199,1195.43,1189.44,1196.08,1183.97,417908415
2013-7-2,1195.14,1197.03,1199,1199.32,1194.45,421557381
2013-7-1,1190.5,1192.89,1195.14,1195.55,1188.62,419029053
2013-06-30,1189.67,1191.62,1190.5,1193.3,1188.49,418698608
2013-06-27,1193.67,1192.61,1189.67,1196.28,1187.81,417800263
2013-06-26,1195.75,1196.18,1193.67,1200.92,1193.1,418463849
2013-06-25,1198.9,1202.35,1195.75,1205.67,1195.75,417400417
2013-06-24,1210.83,1206.85,1198.9,1210.98,1197.7,419518380
2013-06-23,1211.77,1210.41,1210.83,1212.1,1203.39,423851461
2013-06-20,1223.83,1215.66,1211.77,1216.23,1210.47,424032560
2013-06-19,1228.22,1229.31,1223.83,1231.42,1222.32,427200182
2013-06-18,1228.98,1228.72,1228.22,1229.53,1226.59,427997311
2013-06-17,1225.11,1230.24,1228.98,1232.58,1227.65,427827496
2013-06-16,1222.13,1223.04,1225.11,1228.17,1222.01,427957274
2013-06-13,1227.86,1214.99,1222.13,1222.91,1212.7,427156532
2013-6-12,1228.17,1226.56,1227.86,1230.52,1224.99,429604798
2013-6-11,1237.21,1234.75,1228.17,1235.45,1225.72,429811896
2013-6-10,1232.63,1232.59,1237.21,1237.21,1231.09,431877868
2013-6-9,1225.26,1235.74,1232.63,1236.54,1231.36,429645837
2013-6-6,1226.31,1224.04,1225.26,1228.84,1222.56,425568119
2013-6-5,1231.83,1226.65,1226.31,1229.43,1225.06,427042887
2013-6-4,1227.6,1227.77,1231.83,1232.06,1226.96,430168030
2013-6-3,1222.6,1222.99,1227.6,1229.05,1219.94,428782532
2013-6-2,1232,1221.2,1222.6,1223.12,1219.68,426761134
2013-05-30,1232.07,1230,1232,1234.86,1224.51,428624539
2013-05-29,1241.17,1240.61,1232.07,1241.33,1231.21,430478575
2013-05-28,1225.56,1233.44,1241.17,1242.6,1233.23,434271704
2013-05-27,1224.12,1225.23,1225.56,1227.24,1222.95,429411289
2013-05-26,1215.4,1219.09,1224.12,1224.64,1218.72,429532103
2013-05-23,1232.71,1218.76,1215.4,1219.37,1211.42,425654176
2013-05-22,1232.23,1232.92,1232.71,1235.33,1227.86,432203925
2013-05-21,1230.16,1231.25,1232.23,1234.03,1227.92,431854305
2013-05-20,1222.72,1221.82,1230.16,1231.96,1219.53,432455154
2013-05-19,1215.76,1219.56,1222.72,1222.73,1217.67,429415129
2013-05-16,1204.66,1217.59,1215.76,1220.48,1214.35,427188360
2013-05-13,1193.16,1195.39,1204.66,1206.87,1193.84,420467271
2013-5-12,1203.19,1205.81,1193.16,1206.43,1191.89,416897681
2013-5-9,1209.31,1212.55,1203.19,1213.1,1203.19,420411734
2013-5-8,1210.68,1211.72,1209.31,1214.18,1207.26,423008706
2013-5-7,1209.89,1210.62,1210.68,1211.6,1207.22,422747638
2013-5-6,1203.01,1204.6,1209.89,1210.33,1201.84,422807565
2013-5-5,1204.53,1208.55,1203.01,1210.37,1199.47,420141202
2013-5-2,1204.14,1202.69,1204.53,1206.88,1201.34,420530449
2013-5-1,1206.19,1205.04,1204.14,1212.21,1202.61,420815254
2013-04-30,1196.86,1199.97,1206.19,1206.19,1197.8,423582941
2013-04-29,1196.8,1195.9,1196.86,1200.56,1195.55,421605596
2013-04-28,1205.09,1199.7,1196.8,1200.37,1195.12,421457346
2013-04-25,1215.02,1207.92,1205.09,1209.99,1202.82,424438620
2013-04-24,1207.71,1212.62,1215.02,1218.91,1208.88,426335510
2013-04-23,1201.62,1196.61,1207.71,1207.71,1195.25,425274061
2013-04-22,1203.37,1206.69,1201.62,1213.5,1192.28,423222599
2013-04-21,1203.74,1203.37,1203.37,1207.62,1191.42,422509234
2013-04-18,1218.55,1216.94,1203.74,1217.35,1202.78,423439832
2013-04-17,1230.35,1228.54,1218.55,1229.31,1215.52,428285529
2013-04-14,1230.12,1229.87,1230.35,1233.74,1227.58,431986745
2013-4-11,1232.23,1235.9,1230.12,1237.01,1228.43,433177438
2013-4-10,1229.26,1229.5,1232.23,1236.34,1227.25,433840414
2013-4-9,1228.42,1230.67,1229.26,1231.41,1227.59,434641049
2013-4-8,1225.74,1226.39,1228.42,1231.61,1223.6,437507398
2013-4-7,1229.74,1227.76,1225.74,1234.21,1223.93,436032105
2013-4-4,1239.79,1238.17,1229.74,1238.68,1229.2,438490535
2013-4-3,1242.54,1241.33,1239.79,1243.25,1238.19,441118129
2013-4-2,1237.67,1239.94,1242.54,1244.66,1237.48,441270933
2013-03-28,1243.95,1240.63,1237.67,1241.94,1234.78,439310403
2013-03-27,1247.42,1251.53,1243.95,1251.87,1240.12,442621796
2013-03-24,1239.09,1247.68,1247.42,1249.12,1241.86,444788418
2013-03-21,1249.37,1249.58,1239.09,1250.12,1238.14,443114404
2013-03-20,1248.96,1251.68,1249.37,1253.44,1247.41,444875520
2013-03-19,1244.64,1246.32,1248.96,1254.22,1242.98,445526792
2013-03-18,1234.95,1224.79,1244.64,1251.13,1223.39,444095154
2013-03-17,1240.51,1245.17,1234.95,1246.27,1233.6,443153403
2013-03-14,1240.06,1243.08,1240.51,1245.06,1240.35,445665356
2013-03-13,1240.78,1240.22,1240.06,1243.17,1233.88,443543196
2013-3-12,1236.98,1241.5,1240.78,1242.65,1238.68,442959984
2013-3-11,1237.28,1236.31,1236.98,1240.54,1234.87,441332114
2013-3-10,1226.89,1238.63,1237.28,1249.05,1237.28,440773809
2013-3-7,1228.23,1227.66,1226.89,1231.66,1225.14,439037246
2013-3-6,1226.21,1230.8,1228.23,1231.35,1226.35,435990619
2013-3-5,1217.96,1221.33,1226.21,1228.18,1221.13,434295453
2013-3-4,1216.09,1212.07,1217.96,1219.45,1208.59,430449548
2013-3-3,1221.47,1220.61,1216.09,1221.1,1214.74,429246209
2013-02-28,1214.93,1222.9,1221.47,1223.01,1218.42,431750037
2013-02-27,1217.9,1219.41,1214.93,1219.98,1214.6,430367727
2013-02-26,1220.67,1210.43,1217.9,1218.78,1208.22,431622336
2013-02-25,1218,1221.27,1220.67,1223.79,1218.78,434123247
2013-02-21,1241.9,1214.57,1218,1226.65,1214.57,432849620
2013-02-20,1224.72,1229.12,1241.9,1241.9,1227.8,438984881
2013-02-19,1218.47,1217.33,1224.72,1226.71,1216.6,434009949
2013-02-18,1224.59,1224.4,1218.47,1224.87,1216.3,431797343
2013-02-17,1220.71,1222.78,1224.59,1229.04,1221.75,434472225
2013-02-14,1225.38,1224.82,1220.71,1225.38,1217.04,433992205
2013-02-13,1229,1231.21,1225.38,1232.47,1223.44,435866301
2013-2-12,1218.38,1218.56,1229,1229.32,1215.11,435613514
2013-2-11,1212.35,1214.25,1218.38,1221.1,1213.47,433383995
2013-2-10,1210.46,1218.53,1212.35,1219.18,1212.35,431175326
2013-2-7,1202.88,1207.1,1210.46,1210.46,1204.52,427278537
2013-2-6,1205.01,1209.92,1202.88,1212.53,1201.27,427264771
2013-2-5,1195.58,1194.18,1205.01,1205.51,1192.41,427598819
2013-2-4,1195.19,1194.51,1195.58,1199,1189.63,423849729
2013-2-3,1177.36,1194.43,1195.19,1195.32,1192.23,424313767
2013-01-31,1176.67,1175.51,1177.36,1181.8,1172.55,419654319
2013-01-30,1186.5,1188.65,1176.67,1192.4,1174.22,420890516
2013-01-29,1197.34,1196.95,1186.5,1197.95,1182.07,424396699
2013-01-28,1192.81,1193.5,1197.34,1198.88,1189.26,427320551
2013-01-27,1196.34,1205.99,1192.81,1207.07,1192.48,425689353
2013-01-24,1204.65,1196.94,1196.34,1200.65,1190.8,427920007
2013-01-23,1193.01,1204.43,1204.65,1214.69,1201.81,428977981
2013-01-21,1189.26,1188.19,1193.01,1193.43,1179.08,425179410
2013-01-20,1207.67,1203.17,1189.26,1204.56,1189.17,423148257
2013-01-17,1208.65,1206.98,1207.67,1208.54,1203.91,428106219
2013-01-16,1210.24,1208.99,1208.65,1211.39,1199.89,428987438
2013-01-15,1219.33,1217.9,1210.24,1221.9,1208.74,429412366
2013-01-14,1217.76,1220.89,1219.33,1225.76,1216.47,431381870
2013-01-13,1224.11,1219.23,1217.76,1221.05,1216.09,431606789
2013-1-10,1210.26,1216.65,1224.11,1224.3,1206.68,434836079
2013-1-9,1203.97,1206.25,1210.26,1210.26,1204.96,430864973
2013-1-8,1206.78,1202.62,1203.97,1209.36,1201.29,428115938
2013-1-7,1216.39,1213.9,1206.78,1214.46,1205.41,429310392
2013-1-6,1210.62,1220.24,1216.39,1222.41,1215.9,431382038
2013-1-3,1221.31,1216.79,1210.62,1217.45,1207.13,426013867
2013-1-2,1214.59,1218.6,1221.31,1223.53,1217.13,428308204